source,target,count,shortest_path,links_coords,normalized_links_coords
Brain,Telephone,1004,"['Brain', 'Biology', '19th_century', 'Telephone']","[[(349, 421)], [(84, 1213)], [(38, 6883)]]","[[(0.18465608465608466, 0.11229661242998133)], [(0.044444444444444446, 0.4033920851346857)], [(0.020105820105820106, 0.8864133934320669)]]"
Pyramid,Bean,944,"['Pyramid', 'California', 'Fruit', 'Bean']","[[(711, 1506)], [(801, 2526)], [(124, 868)]]","[[(0.3761904761904762, 0.6946494464944649)], [(0.4238095238095238, 0.487927371064323)], [(0.0656084656084656, 0.4155098133078028)]]"
Theatre,Zebra,872,"['Theatre', 'India', 'Extinction', 'Zebra']","[[(269, 2214), (224, 2255)], [(144, 2198)], [(433, 578)]]","[[(0.14232804232804233, 0.9349662162162162), (0.11851851851851852, 0.9522804054054054)], [(0.0761904761904762, 0.5710574175110418)], [(0.2291005291005291, 0.2557522123893805)]]"
Asteroid,Viking,727,"['Asteroid', '1_Ceres', 'Paris', 'Viking']","[[(217, 157), (1801, 435), (1230, 325), (985, 393), (173, 1190), (44, 2419), (414, 2839)], [(1496, 384)], [(429, 718)]]","[[(0.11481481481481481, 0.04804161566707466), (0.9529100529100529, 0.13310893512851898), (0.6507936507936508, 0.09944920440636475), (0.5211640211640212, 0.12025703794369645), (0.09153439153439154, 0.36413708690330476), (0.02328042328042328, 0.7402080783353733), (0.21904761904761905, 0.8687270501835985)], [(0.7915343915343915, 0.16856892010535557)], [(0.22698412698412698, 0.07779824466356051)]]"
Batman,Wood,75,"['Batman', 'Chemistry', 'Fire', 'Wood']","[[(1258, 1617)], [(405, 743)], [(448, 1907)]]","[[(0.6656084656084656, 0.473915592028136)], [(0.21428571428571427, 0.21511291256514187)], [(0.23703703703703705, 0.8434321096859797)]]"
Batman,Banana,56,"['Batman', 'Scotland', 'Atlantic_Ocean', 'Argentina', 'Banana']","[[(1163, 265)], [(71, 94), (1680, 2308), (726, 2616)], [(399, 1803), (1332, 1943), (1358, 1963), (1358, 1983)], [(421, 4525)]]","[[(0.6153439153439153, 0.07766705744431418)], [(0.03756613756613757, 0.016815742397137744), (0.8888888888888888, 0.41288014311270127), (0.38412698412698415, 0.4679785330948122)], [(0.2111111111111111, 0.5573415765069551), (0.7047619047619048, 0.6006182380216384), (0.7185185185185186, 0.6068006182380217), (0.7185185185185186, 0.612982998454405)], [(0.22275132275132276, 0.48061603823685606)]]"
Aircraft,Google,43,"['Aircraft', 'Airbus_A380', 'Hamburg', 'Google']","[[(1541, 320), (1547, 1213)], [(397, 694), (590, 2561)], [(836, 1797)]]","[[(0.8153439153439154, 0.15912481352560914), (0.8185185185185185, 0.6031824962705122)], [(0.21005291005291005, 0.1293328363771897), (0.31216931216931215, 0.4772642564293701)], [(0.44232804232804235, 0.16808530539706296)]]"
Beer,Sun,43,"['Beer', 'Water', 'Sun']","[[(208, 713)], [(1476, 1553)]]","[[(0.11005291005291006, 0.19385535617183253)], [(0.780952380952381, 0.25848868175765644)]]"
Cat,Computer,43,"['Cat', 'Evolution', 'Computer']","[[(812, 2573), (71, 2690)], [(618, 4155)]]","[[(0.42962962962962964, 0.3265642848077167), (0.03756613756613757, 0.3414138850107882)], [(0.326984126984127, 0.6271698113207547)]]"
Cat,Microsoft,42,"['Cat', 'Genealogy', 'Internet', 'Microsoft']","[[(824, 294)], [(481, 810)], [(555, 1694)]]","[[(0.43597883597883597, 0.03731437999746161)], [(0.2544973544973545, 0.20908621579762518)], [(0.29365079365079366, 0.44508670520231214)]]"
Computer,Fruit,36,"['Computer', 'Computer_and_video_games', 'Pac-Man', 'Fruit']","[[(128, 6004)], [(463, 2107)], [(1386, 338)]]","[[(0.06772486772486773, 0.9048982667671439)], [(0.24497354497354498, 0.7169105137801973)], [(0.7333333333333333, 0.07541276215975011)]]"
Batman,Penguin,36,"['Batman', 'Scotland', 'Atlantic_Ocean', 'Antarctica', 'Penguin']","[[(1163, 265)], [(71, 94), (1680, 2308), (726, 2616)], [(82, 138)], [(1369, 113), (642, 3416)]]","[[(0.6153439153439153, 0.07766705744431418)], [(0.03756613756613757, 0.016815742397137744), (0.8888888888888888, 0.41288014311270127), (0.38412698412698415, 0.4679785330948122)], [(0.04338624338624339, 0.04265842349304482)], [(0.7243386243386244, 0.022261623325453114), (0.3396825396825397, 0.6729708431836091)]]"
Dog,Telephone,36,"['Dog', 'Africa', 'Atlantic_Ocean', 'Telephone']","[[(455, 3844)], [(928, 147), (1476, 2299), (1537, 2524)], [(159, 1217)]]","[[(0.24074074074074073, 0.9343704423918328)], [(0.491005291005291, 0.020937188434695914), (0.780952380952381, 0.32744623273038026), (0.8132275132275132, 0.3594929497222618)], [(0.08412698412698413, 0.37619783616692426)]]"
Bird,Great_white_shark,30,"['Bird', 'Penguin', 'Orca', 'Great_white_shark']","[[(362, 240), (139, 715)], [(1008, 2107)], [(1100, 1433)]]","[[(0.19153439153439153, 0.08339124391938846), (0.07354497354497354, 0.24843641417651147)], [(0.5333333333333333, 0.5847904524007771)], [(0.582010582010582, 0.3731770833333333)]]"
Batman,The_Holocaust,30,"['Batman', 'Chemistry', 'World_War_II', 'The_Holocaust']","[[(1258, 1617)], [(1381, 1152)], [(794, 361), (612, 10002)]]","[[(0.6656084656084656, 0.473915592028136)], [(0.7306878306878307, 0.3335263462651998)], [(0.4201058201058201, 0.02797365362262689), (0.3238095238095238, 0.7750484308407594)]]"
Calculus,Lemon,25,"['Calculus', 'Ancient_Greece', 'Cheese', 'Lemon']","[[(442, 75), (535, 262), (891, 262)], [(898, 3174)], [(434, 183)]]","[[(0.23386243386243386, 0.037257824143070044), (0.2830687830687831, 0.13015399900645802), (0.4714285714285714, 0.13015399900645802)], [(0.47513227513227513, 0.8918235459398708)], [(0.22962962962962963, 0.03822055137844611)]]"
Batman,Coconut_crab,24,"['Batman', 'Chemistry', 'Organism', 'Arthropod', 'Coconut_crab']","[[(1258, 1617)], [(668, 1022)], [(19, 2721)], [(1056, 300)]]","[[(0.6656084656084656, 0.473915592028136)], [(0.35343915343915344, 0.29588882455124493)], [(0.010052910052910053, 0.6746838581700967)], [(0.5587301587301587, 0.23771790808240886)]]"
Art,Mango,24,"['Art', 'Yemen', 'Mango']","[[(1018, 2554)], [(826, 1733)]]","[[(0.5386243386243387, 0.5299854741647645)], [(0.43703703703703706, 0.4509497788186313)]]"
Dog,Venus,24,"['Dog', 'Germany', 'Greenhouse_effect', 'Venus']","[[(408, 2340)], [(810, 5237)], [(492, 1266)]]","[[(0.21587301587301588, 0.5687894992707827)], [(0.42857142857142855, 0.5392298187808896)], [(0.26031746031746034, 0.7464622641509434)]]"
14th_century,Rainbow,23,"['14th_century', 'Time', 'Isaac_Newton', 'Rainbow']","[[(247, 93)], [(1156, 76), (19, 1732)], [(759, 1213)]]","[[(0.1306878306878307, 0.058161350844277676)], [(0.6116402116402117, 0.022313564298297124), (0.010052910052910053, 0.5085143863769818)], [(0.4015873015873016, 0.3420755781161873)]]"
Bird,Adolf_Hitler,22,"['Bird', 'Parrot', 'Adolf_Hitler']","[[(125, 918)], [(1357, 1321)]]","[[(0.06613756613756613, 0.31897150799166085)], [(0.717989417989418, 0.6974656810982048)]]"
Aluminium_chloride,Parrot,22,"['Aluminium_chloride', 'Aluminium', 'New_Zealand', 'Parrot']","[[(282, 75), (19, 388), (759, 486), (481, 599)], [(1407, 2624)], [(1006, 2484)]]","[[(0.1492063492063492, 0.042277339346110485), (0.010052910052910053, 0.21871476888387825), (0.4015873015873016, 0.27395715896279593), (0.2544973544973545, 0.33765501691093575)], [(0.7444444444444445, 0.5832407201600356)], [(0.5322751322751322, 0.5257142857142857)]]"
Batman,Peanut,20,"['Batman', 'Scotland', 'Agriculture', 'Biodiesel', 'Peanut']","[[(1163, 265)], [(1255, 4103)], [(617, 338)], [(1710, 3163)]]","[[(0.6153439153439153, 0.07766705744431418)], [(0.6640211640211641, 0.733989266547406)], [(0.32645502645502644, 0.08887720220878254)], [(0.9047619047619048, 0.8450440822869356)]]"
God,Apple,20,"['God', 'Hebrew_language', 'Argentina', 'Apple']","[[(475, 581)], [(1765, 211)], [(282, 4506)]]","[[(0.25132275132275134, 0.18681672025723473)], [(0.9338624338624338, 0.039924314096499526)], [(0.1492063492063492, 0.47859798194370684)]]"
George_W._Bush,Monkey,20,"['George_W._Bush', 'Creationism', 'Charles_Darwin', 'Monkey']","[[(1646, 5735)], [(378, 1147)], [(542, 2914)]]","[[(0.870899470899471, 0.7761537420489918)], [(0.2, 0.2676154923005133)], [(0.2867724867724868, 0.5131185067793625)]]"
Cat,University,17,"['Cat', 'Ancient_Egypt', 'Ancient_Greece', 'University']","[[(282, 7072)], [(1542, 2383)], [(869, 3470)]]","[[(0.1492063492063492, 0.8975758344967636)], [(0.8158730158730159, 0.6152853085463466)], [(0.4597883597883598, 0.9749929755549311)]]"
England,God,16,"['England', 'Anglicanism', 'God']","[[(152, 5678)], [(1547, 4311)]]","[[(0.08042328042328042, 0.5823589743589743)], [(0.8185185185185185, 0.7792841648590022)]]"
Batman,Vitamin_D,16,"['Batman', 'Superman', 'Sun', 'Vitamin_D']","[[(1200, 75), (184, 227)], [(323, 987), (344, 1584), (1678, 2907), (726, 2971)], [(1264, 454)]]","[[(0.6349206349206349, 0.021981242672919107), (0.09735449735449736, 0.06652989449003517)], [(0.1708994708994709, 0.19755804643714972), (0.182010582010582, 0.31705364291433147), (0.8878306878306879, 0.5818654923939152), (0.38412698412698415, 0.594675740592474)], [(0.6687830687830688, 0.0994305738063951)]]"
Batman,Bible,15,"['Batman', 'Chemistry', 'Alchemy', 'Bible']","[[(1258, 1617)], [(305, 75), (471, 657), (1502, 657), (772, 762), (1606, 762)], [(934, 723)]]","[[(0.6656084656084656, 0.473915592028136)], [(0.16137566137566137, 0.021713954834973945), (0.2492063492063492, 0.19021424435437173), (0.7947089947089947, 0.19021424435437173), (0.4084656084656085, 0.22061378112333527), (0.8497354497354498, 0.22061378112333527)], [(0.49417989417989416, 0.10986172314237957)]]"
Animal,Dog,14,"['Animal', 'Bird', 'Chicken', 'Dog']","[[(1716, 424), (595, 1350), (769, 1955)], [(959, 2316), (399, 2538)], [(1281, 3964)]]","[[(0.9079365079365079, 0.17186866639643292), (0.3148148148148148, 0.5472233481961897), (0.4068783068783069, 0.7924604783137413)], [(0.5074074074074074, 0.8047255038220987), (0.2111111111111111, 0.881862404447533)], [(0.6777777777777778, 0.5413821360284076)]]"
Canada,Pony,13,"['Canada', 'United_Kingdom', 'Ben_Nevis', 'Pony']","[[(850, 119), (1309, 287), (19, 1791)], [(660, 1589)], [(1436, 713)]]","[[(0.4497354497354497, 0.02528686782830429), (0.6925925925925925, 0.060985975350616235), (0.010052910052910053, 0.38057798555036126)], [(0.3492063492063492, 0.24307786446382132)], [(0.7597883597883598, 0.3524468610973801)]]"
China,Birth_control,13,"['China', 'Beijing', '20th_century', 'Birth_control']","[[(1385, 542), (393, 2124)], [(251, 6419)], [(747, 1295)]]","[[(0.7328042328042328, 0.12196219621962197), (0.20793650793650795, 0.47794779477947796)], [(0.1328042328042328, 0.615554276946682)], [(0.3952380952380952, 0.47297297297297297)]]"
Electricity,God,13,"['Electricity', 'Mesopotamia', 'God']","[[(537, 306)], [(489, 1985)]]","[[(0.2841269841269841, 0.16794731064763996)], [(0.25873015873015875, 0.45790080738177624)]]"
Jew,Telephone,12,"['Jew', 'Argentina', 'Telephone']","[[(22, 1446)], [(1442, 4747)]]","[[(0.01164021164021164, 0.2787201233616037)], [(0.762962962962963, 0.5041954328199681)]]"
Calculus,Paul_McCartney,12,"['Calculus', 'Physical_science', 'Irish_people', 'Paul_McCartney']","[[(1055, 183), (228, 904)], [(150, 2252)], [(38, 5583)]]","[[(0.5582010582010583, 0.09090909090909091), (0.12063492063492064, 0.4490809736711376)], [(0.07936507936507936, 0.835931700074239)], [(0.020105820105820106, 0.6699867994719789)]]"
Archbishop_of_Canterbury,Vietnam,12,"['Archbishop_of_Canterbury', '19th_century', '6th_century', 'Vietnam']","[[(852, 1178)], [(346, 7611)], [(155, 216)]]","[[(0.4507936507936508, 0.8029993183367417)], [(0.18306878306878308, 0.9801674179008371)], [(0.082010582010582, 0.12521739130434784)]]"
Automobile,Pluto,12,"['Automobile', 'Europe', 'Earth', 'Pluto']","[[(893, 3619)], [(373, 75), (832, 119), (727, 306)], [(1426, 4017)]]","[[(0.4724867724867725, 0.9305734121882232)], [(0.19735449735449737, 0.012853470437017995), (0.4402116402116402, 0.020394173093401885), (0.38465608465608464, 0.05244215938303342)], [(0.7544973544973544, 0.7410071942446043)]]"
Computer,Batman,11,"['Computer', 'Computer_and_video_games', 'Doom', 'Batman']","[[(128, 6004)], [(643, 2347)], [(1312, 1884)]]","[[(0.06772486772486773, 0.9048982667671439)], [(0.3402116402116402, 0.7985709424974481)], [(0.6941798941798942, 0.6747851002865329)]]"
Acceleration,Mozilla_Firefox,11,"['Acceleration', 'Physics', 'Applied_mathematics', 'Cryptography', 'Mozilla_Firefox']","[[(33, 79)], [(1051, 2324)], [(1592, 351)], [(701, 3142)]]","[[(0.01746031746031746, 0.0685763888888889)], [(0.5560846560846561, 0.5755324418028727)], [(0.8348190875721028, 0.5433436532507739)], [(0.3708994708994709, 0.8806053811659192)]]"
Dove,Looney_Tunes,11,"['Dove', 'Bird', 'Chicken', 'Looney_Tunes']","[[(1714, 364)], [(959, 2316), (399, 2538)], [(232, 6279)]]","[[(0.9068783068783068, 0.037340993024210095)], [(0.5074074074074074, 0.8047255038220987), (0.2111111111111111, 0.881862404447533)], [(0.12275132275132275, 0.8575525812619503)]]"
Internet,Cat,11,"['Internet', 'United_States', 'Baker_Island', 'Cat']","[[(261, 341)], [(655, 7570)], [(300, 287)]]","[[(0.1380952380952381, 0.08959537572254335)], [(0.34656084656084657, 0.9482650632594263)], [(0.15731515469323545, 0.3329466357308585)]]"
China,Moon,11,"['China', 'Great_Wall_of_China', 'Moon']","[[(373, 1827), (979, 1827)], [(939, 911)]]","[[(0.19735449735449737, 0.41111611161116113), (0.517989417989418, 0.41111611161116113)], [(0.49682539682539684, 0.4274988268418583)]]"
Thailand,Pigeon,11,"['Thailand', 'Buddhism', 'Sikkim', 'Pigeon']","[[(331, 2243)], [(95, 4891)], [(1317, 1418)]]","[[(0.17513227513227514, 0.8180160466812546)], [(0.05026455026455026, 0.686359809149593)], [(0.6968253968253968, 0.294557540506855)]]"
Achilles_tendon,Ocean,11,"['Achilles_tendon', 'Achilles', 'Alexander_the_Great', 'Mediterranean_Sea', 'Ocean']","[[(375, 252)], [(466, 2779)], [(476, 1097)], [(892, 1326)]]","[[(0.1984126984126984, 0.2159383033419023)], [(0.24656084656084656, 0.683640836408364)], [(0.2518518518518518, 0.1849603776766144)], [(0.47195767195767196, 0.48043478260869565)]]"
Bald_Eagle,Clock,11,"['Bald_Eagle', 'Earth', 'China', 'Clock']","[[(941, 306)], [(1774, 3145), (805, 4450)], [(204, 4149)]]","[[(0.4978835978835979, 0.19921875)], [(0.9386243386243386, 0.580151263604501), (0.42592592592592593, 0.8208817561335547)], [(0.10793650793650794, 0.9336183618361836)]]"
Colombia,Menthol,11,"['Colombia', 'Andes', 'Cretaceous', 'Iridium', 'Rhodium', 'Menthol']","[[(375, 166)], [(738, 310)], [(92, 282)], [(1582, 88)], [(705, 378)]]","[[(0.1984126984126984, 0.04358099238645314)], [(0.3904761904761905, 0.09612403100775194)], [(0.04867724867724868, 0.17973231357552583)], [(0.837037037037037, 0.04609743321110529)], [(0.373015873015873, 0.17565055762081785)]]"
Christianity,Natalie_Portman,11,"['Christianity', 'Bible', 'Jerusalem', 'Natalie_Portman']","[[(968, 426), (153, 1306)], [(1677, 879)], [(1062, 5373)]]","[[(0.5121693121693122, 0.09218783813027483), (0.08095238095238096, 0.2826228089158191)], [(0.8873015873015873, 0.16169977924944812)], [(0.5619047619047619, 0.9195618689029608)]]"
England,Train,10,"['England', 'Bridge', 'Train']","[[(1018, 4070)], [(155, 525)]]","[[(0.5386243386243387, 0.41743589743589743)], [(0.082010582010582, 0.08338627700127065)]]"
Dog,Beer,10,"['Dog', 'Africa', 'Ancient_Egypt', 'Beer']","[[(455, 3844)], [(645, 1294)], [(95, 3353)]]","[[(0.24074074074074073, 0.9343704423918328)], [(0.3412698412698413, 0.18430423016664294)], [(0.05026455026455026, 0.86573715466047)]]"
AIDS,Tour_de_France,10,"['AIDS', 'Belgium', 'Tour_de_France']","[[(1180, 4109)], [(489, 3061)]]","[[(0.6243386243386243, 0.9743893763338867)], [(0.25873015873015875, 0.8683687943262411)]]"
